Name,SiO2,TiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3T,H2O+,CO2,As,B,Ba,Cu,Li,Sr,Zn,Total
AGV2,59.30,1.05,16.91,6.69,0.10,1.79,5.20,4.19,2.88,0.48,0,0,0,0,0,1130,53,11,661,86,98.97
BCR2,54.10,2.26,13.50,13.80,0.20,3.59,7.12,3.16,1.79,0.35,0.04,0,0,0,0,677,21,9,340,127,100.26
BEN,38.20,2.61,10.07,12.90,0.20,13.2,13.9,3.18,1.39,1.05,0.07,2.24,0.74,2,0,1025,72,13,1370,120,100.40
BHVO2,49.90,2.73,13.50,12.30,0.17,7.23,11.4,2.22,0.52,0.27,0,0.20,0,0,0,131,127,5,396,103,100.75
BIR1,47.70,0.97,15.40,11.33,0.18,9.70,13.4,1.81,0.03,0.03,0,0,0,0,0,7,119,3,109,72,100.71
BK2,58.83,1.94,14.77,8.78,0.19,2.82,4.64,3.35,3.99,0.71,0,1.38,0,0,0,1001,0,0,487,210,101.72
BT2,48.57,1.52,16.46,11.09,0.15,6.42,7.92,4.48,1.28,0.44,0,0,0,0,0,480,50,0,559,28,98.53
BWQC1,52.82,1.76,12.07,17.41,0.26,3.22,6.72,4.17,0.93,0.20,0,3.26,0,0,0,122,0,0,161,133,102.96
CADILLAC,72.20,0.32,13.07,3.57,0.10,0.21,0.96,4.91,3.95,0.05,0,0.69,0,0,0,711,0,0,49,106,100.23
DH4912,41.60,0.002,0.43,7.25,0.07,49.2,0.08,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,99.24
GBW07104,60.62,0.52,16.17,4.90,0.08,1.72,5.20,3.86,1.89,0.24,0.05,1.50,3.47,2,5,1020,55,18,790,71,100.58
GBW07105,44.64,2.37,13.83,13.40,0.17,7.77,8.81,3.38,2.32,0.95,0.02,2.86,0.19,1,4,498,49,10,1100,150,101.23
GBW07108,15.60,0.33,5.03,2.52,0.06,5.19,35.7,0.08,0.78,0.05,0.09,2.12,32.40,5,16,120,23,20,913,52,100.21
GBW07110,63.06,0.80,16.10,4.72,0.09,0.84,2.47,3.06,5.17,0.36,0.06,1.79,1.03,6,11,1053,9,18,318,164,99.99
GBW07113,72.78,0.30,12.96,3.21,0.14,0.16,0.59,2.57,5.43,0.05,0.02,1.18,0.52,1,4,506,11,13,43,86,100.24
GBW07313,53.86,0.67,13.75,6.58,0.43,3.38,1.71,4.81,2.95,0.45,0,5.50,0,6,125,4400,424,60,267,160,98.93
GBW07316,31.60,0.39,7.70,4.07,0.40,2.04,22.6,3.76,1.61,0.33,4,17.30,5,84,2500,231,35,667,142,99.94
Granodike,48.08,3.58,12.93,15.56,0.25,6.21,6.93,4.51,0.93,0.41,0,0,0,0,0,212,0,0,264,58,99.56
GSR2,60.62,0.52,16.17,4.90,0.08,1.72,5.20,3.86,1.89,0.24,0.05,1.54,3.46,2,5,1020,55,18,790,71,100.61
GUWGNA,71.47,0.02,14.70,5.92,0.17,0.03,0.62,0.08,2.63,0,0,0,0,7,0,51,0,2276,0,78,99.65
GYPA,0.45,0,0.10,0.05,0.00,0.18,32.9,0.01,0.02,0.01,46.20,19.40,0.47,0,0,28,0,0,930,5,99.99
GYPB,1.05,0.01,0.17,0.07,0.001,1.80,32.8,0.02,0.05,0.01,41,17.80,5,0,0,22,0,0,118,5,99.81
GYPC,3.50,0.04,0.79,0.40,0.01,5.35,30.4,0.02,0.36,0.02,33,14.37,11.20,3,0,53,10,0,296,17,99.55
GYPD,8.70,0.08,2.03,1.08,0.03,1.73,28.2,0.07,0.54,0.03,36.70,16.39,3.60,3,0,107,0,0,152,18,99.25
JA1,63.97,0.85,15.22,7.01,0.16,1.57,5.70,3.84,0.76,0.17,0.01,0.72,0,3,24,303,41,10,264,91,100.14
JA2,56.42,0.66,15.41,6.26,0.11,7.60,6.29,3.11,1.80,0.15,0,1.12,0,1,23,315,28,29,250,65,99.16
JA3,62.26,0.68,15.57,6.59,0.11,3.65,6.28,3.17,1.41,0.11,0,0.20,0,5,25,318,45,14,294,68,100.27
JB2,53.20,1.19,14.64,14.34,0.20,4.66,9.89,2.03,0.42,0.10,0.005,0.25,0,3,30,208,227,8,178,110,101.18
JB3,51.04,1.45,16.89,11.88,0.16,5.20,9.86,2.82,0.78,0.29,0.002,0.18,0,2,15,251,198,7,395,106,100.85
JDO1,0.20,0.001,0.01,0.10,0.01,18.4,34.1,0.01,0.002,0.03,0.02,0.40,46.50,0,1,6,1.41,0.4,119,34,99.87
JR1,75.41,0.10,12.89,0.89,0.10,0.09,0.63,4.10,4.41,0.02,0.003,1.18,0,16,133,40,1.40,62,30,30,100.11
KGA-MED-S,35.64,1.47,23.71,3.18,0.05,1.68,11.5,0.72,0.26,0.10,13.40,0,0,3,23107,140,30,7433,152,50,94.89
M6-HAGGERTY,41.37,5.90,2.75,10.65,0.20,31.2,3.01,0.29,1.35,2.19,0,0,0,0,0,1909,0,0,1282,77,99.76
Macusanite,73.75,0.04,16.35,0.58,0.06,0.01,0.24,4.07,3.99,0.46,0,0,0,0,1573,1.30,2.40,3528,1.30,109,100.13
MHC1356,52.66,0.08,0.55,40.28,0.01,0.10,0.20,0.02,0.60,0.17,0,3.03,0,1,0,294,15,0,51,7,97.79
MHC2319,68.84,0.01,0.87,17.71,0.01,0.01,0.08,0.01,0.04,0.41,36.18,0,0,965,0,455,284,0,1931,58,124.92
MHC3828,9.44,0.11,2.25,0.44,0,2.67,27.4,0.12,0.93,0.04,35.61,15,0,1,0,79,7,0,2053,59,94.48
MO12,49.87,1.61,16.74,10.54,0.14,7.38,8.73,3.85,1.12,0.45,0.01,0.18,0,0,9.30,311,54,9,865,130,101.04
MO14,46.85,1.62,17.06,10.85,0.15,8.05,9.60,3,0.46,0.37,0.01,1.73,0,0,8.70,172,66,8,468,108,100.06
MO7,40.79,3.39,17.60,12.35,0.15,6.46,14.6,2.05,0.75,1.08,0.45,0.70,0.03,0,4.50,7480,59,5,1745,65,101.81
MOPPIN,50.78,1.67,15.63,14.61,0.36,4.82,8.30,2.41,0.39,0.53,0,2.32,0,0,0,273,0,0,405,153,102.05
MSHA,63.94,0.59,17.46,4.70,0.08,1.97,5.03,4.78,1.32,0.14,0,0.99,0,0,0,367,0,0,483,51,101.18
NAU2,48.70,0.60,4.53,31.76,0.02,0.77,1.96,0.70,0.08,0.21,0,11.69,0,0,0,46,0,0,134,130,101.02
NAU2-HI-S,30.90,0.39,3.69,17.51,0.03,1.14,16.3,0.67,0.16,0.06,21.07,0,0,1,23107,56,10,7433,144,60,95.05
NAU2-LO-S,43.78,0.78,7.63,20.32,0.07,2.97,8.26,1.44,0.40,0.14,5.33,0,0,1,23107,162,30,7433,236,90,94.39
NAU2-MED-S,37.48,0.57,5.72,18.95,0.05,2.05,12.3,1.11,0.29,0.10,13.54,0,0,1,23107,107,20,7433,185,70,95.32
